plz,qkm,einwohner
533,271.64,138452
534,195.11,72009
535,771.18,99477
536,130.84,69035
537,299.16,186001
538,563.73,235472
539,1035.34,123657
542,192.47,113491
543,577.25,89206
544,990.79,93210
545,1718.35,130556
546,1230.57,76002
551,97.98,200379
552,667.93,224469
554,865.76,130263
555,597.95,129322
556,242.65,26304
557,694.14,77610
560,105.6,107868
561,210.1,79593
562,861.6,137413
563,812.58,105928
564,530.79,112077
565,241.37,103499
566,190.14,59724
567,605.89,85953
568,619.15,53300
570,114.61,99246
572,535.43,136512
573,1073.26,105634
574,428,98092
575,374.93,95688
576,431.08,62248
580,116.8,134267
581,43.25,53758
582,140.55,108506
583,132.93,88228
584,72.37,96364
585,389.72,138737
586,193.44,129933
587,273.77,130498
588,284.81,57693
590,226.35,176181
591,123.87,110878
592,234.39,88536
593,833.1,177517
594,324,165304
595,857.56,175318
596,231.77,21108
597,99.37,46262
598,618.95,96630
599,790.25,79839
603,56.65,235507
604,74.61,218592
605,79.69,110229
611,318.97,145020
612,438.9,112907
613,115.54,84469
614,121.33,92921
630,44.76,113241
631,140,143310
632,53.28,69640
633,98.27,76583
634,138.32,142915
635,451.69,177203
636,1066.72,148036
637,291.59,161529
638,712.14,142497
639,348.22,54871
642,122.16,143607
643,361.74,171103
644,71.74,19625
645,293.27,123121
646,320.32,133919
647,528.8,79880
648,305.88,99771
651,70.21,163943
652,202.04,125355
653,545.1,99254
654,182.14,147950
655,576.25,162480
656,238.46,52779
657,115.85,110469
658,63.77,76831
659,37.47,103959
661,167.48,175780
662,127.26,84858
663,231.52,121269
664,457.52,141732
665,321.58,144506
666,871.57,164382
667,424.91,157202
668,679.61,143013
669,745.41,124475
670,186.91,175834
671,258.34,114688
672,366.63,135606
673,362.25,124175
674,444.03,116798
675,333.19,126519
676,369.14,133615
677,540.85,56939
678,355.78,28202
681,45.48,142276
682,43.75,64827
683,55.74,83003
685,99.3,77203
686,166.55,58866
687,208.13,138468
688,19.38,11880
691,236.62,238718
692,207.61,109854
694,491.82,106909
695,71.53,34467
701,47.47,194737
703,48.02,135030
704,40.12,114229
705,64.14,117384
706,10.94,24411
707,92.62,123894
708,52.17,68217
710,193.87,157240
711,250.57,106799
712,252.09,141984
713,127.92,130003
714,21.19,19148
715,374,106777
716,188.3,191201
717,216.18,101410
720,107.91,82543
721,768.35,191533
722,880.47,131375
723,465.31,90140
724,605.79,119939
725,974.12,116875
726,181.38,110467
727,117.86,127210
728,310.63,56874
730,234.91,153096
731,106.98,30293
732,258.45,146814
733,286.67,58829
734,1087.09,176475
735,445.65,132716
736,297.2,115864
737,117.79,163908
740,100.23,116038
741,221.21,96490
742,470.83,99267
743,402.62,180931
744,350.57,35865
745,1186.98,155789
746,641.44,97250
747,632.48,61831
748,556.19,115507
749,321.09,69928
750,305.29,84618
751,123.04,126135
752,225.08,80792
753,567.17,112180
754,198.55,62799
761,118.59,234609
762,189.25,136305
763,277.96,108470
764,199.71,100251
765,488,120569
766,311.4,120989
767,436.48,119402
768,867.93,160133
776,154.22,90817
777,1112.85,152188
778,475.76,119031
779,402.14,106511
780,349.59,117174
781,896.38,103726
782,427.41,110033
783,300.88,69240
784,93.21,89772
785,454.1,94101
786,417.88,86758
787,212.14,47242
790,1.35,8288
791,274.99,261815
792,921.09,158417
793,478.69,130647
794,216.63,37024
795,182.28,105999
796,525.32,106347
797,632.02,116019
798,914.15,71734
803,8.72,74917
804,1.22,23960
805,2.9,14215
806,21.67,160320
807,3.8,58894
808,18.44,106676
809,78.24,176327
812,49.15,99390
813,22.67,141536
814,13.41,59586
815,17.72,125343
816,14.4,108634
817,15.92,75137
818,21.99,69434
819,20.67,54034
820,284.22,101628
821,158.61,149957
822,600.23,156737
823,668.96,130178
824,1348.78,102544
825,273.97,56768
830,483.7,168547
831,541.89,61227
832,551.64,70301
833,944.89,127433
834,808.62,83235
835,576.25,64157
836,1061.59,102981
837,591.88,54990
840,1198.82,188004
841,1288.82,127178
843,954.86,96172
844,719.05,119277
845,971.49,126740
850,474.51,194929
851,722.31,69528
852,876.01,173534
853,555.25,131280
854,725.98,110447
855,231.54,142026
856,597.28,110842
857,208.99,105114
861,148.63,267780
863,263.93,140685
864,930.7,136236
865,937.17,105770
866,1427.67,159905
867,640.12,60995
868,797.92,132414
869,937.1,112297
874,823.17,148776
875,901.73,78159
876,1128.87,139499
877,1027.11,141719
880,279.1,121825
881,336.03,80245
882,840.22,180589
883,842.47,101847
884,1382.26,186365
885,363.08,34289
886,780.9,106004
887,21.71,9353
890,118.77,116833
891,819.05,123794
892,515.34,163982
893,490.92,84747
894,510.86,67598
895,851.28,159293
896,237.11,25012
904,238.04,486620
905,765.48,228287
906,178.54,25834
907,63.39,115512
910,360.56,189704
911,777.65,131022
912,1046.93,127793
913,838.55,130884
914,926.54,80852
915,1101.35,145408
916,707.25,49595
917,1251.93,115240
918,145.53,9971
922,1325.53,141981
923,1310.49,126259
924,552.5,56953
925,670.62,47719
926,890.29,101880
927,595.68,38624
930,467.76,203619
931,1470.74,171685
933,869.94,82750
934,1277.93,110104
940,736.97,132574
941,1137.78,102590
942,938.28,75068
943,1076.43,127136
944,1051.56,142239
945,1287.8,113567
950,58.06,44790
951,975.25,106386
952,231.79,26897
953,521.09,63280
954,798.69,135136
955,322.42,28571
956,906.56,87832
957,249.22,14209
960,54.57,70651
961,1779.65,182134
962,720.64,97543
963,608.89,66069
964,407.65,98724
965,313.71,47664
970,87.67,124381
971,63.57,11067
972,1199.1,169698
973,634.83,85458
974,974.14,167470
975,657.27,70255
976,1036.72,99201
977,1589.42,125990
978,798.91,91622
979,1172.9,113001
985,904.83,127182
986,1538.77,144275
987,373.12,32305
990,269.43,200963
991,348.05,31825
993,503.2,59161
994,605.91,104319
995,267.39,40035
996,558.34,52146
997,1376.15,131096
998,1562.1,216965
999,1009.29,109309
